date,s01_consumption,s02_govt_consumption,s03_construction,s04_exports,s05_imports,s06_capital,s07_gdp,s08_manufacturing,s09_transport_storage_communication,s10_total_output,s11_distribution_hotels_catering,s12_all_production_industries,s13_electricity_gas_and_water_supply,s14_manuf_of_food_drink_tobacco,s15_manuf_coke_petroleum_prod_nuclear_fuels,s16_manuf_of_chemicals_man_made_fibres,s17_total_production,s18_rpi_total_food,s19_rpi_total_non_food,s20_rpi_all_items_other_than_seasonal_food,s21_cpi,s22_gdp_deflator,s23_wages,s24_rpix,s25_rpi,s26_m4_total,s27_m4_households,s28_m4_pnfcs,s29_m4_ofcs,s30_m0,s31_m4_lending,s32_m4l_households,s33_m4l_pnfcs,s34_house_prices,s35_dividend_yield,s36_pe_ratio,s37_ftse_all_share_index,s38_pounds_dollar,s39_pounds_euro,s40_pounds_yen,base_rate
1972-07-01,77474.0,36520.0,69.0,17033.0,17396.0,20342.0,137909.0,82.9,32.2,43.8,50.0,68.7,47.7,77.8,123.1,42.9,3.3,23.5,23.2,23.2,14.100217854722539,11.7,8625.0,22.39116218898744,36339.803991836925,6881.327999187331,2046.497911040922,27818.74180090144,4511.062489741698,218.0,9033.183197717377,1768.4889025005584,13936.331582086616,27.739500832968165,3.11,17.31,216.5384,0.40889761203794567,0.45785449384185706,0.0013582009053495594,6.0
1972-10-01,78073.0,36840.0,68.7,20374.0,19626.0,20446.0,140250.0,86.2,32.7,44.4,51.0,71.1,47.7,78.3,123.0,45.0,7.0,24.0,23.8,23.8,14.444125607276746,12.2,9023.0,22.902498825514794,38120.85372594234,7494.503476257774,2314.0303196925756,28851.892151382435,4704.985151665874,226.0,9702.799675834603,2000.0767349708694,14656.648641897995,28.85247468790734,3.2067,16.6967,213.5724,0.4230655328510386,0.4677487253847233,0.0014049740859554717,7.4049
1973-01-01,81159.0,37293.0,73.3,20248.0,19655.0,21876.0,147533.0,89.5,33.8,45.6,53.1,73.6,48.6,80.4,127.0,46.7,16.3,25.2,23.9,24.1,14.69708254923811,12.3,9359.0,23.33309809837994,40108.613193987054,8180.550225406288,2693.0000034336977,29989.025316454776,4840.715199313354,365.0,10273.77539599936,2257.1090681869296,15495.014628051753,30.21294445429717,3.5367,17.6733,197.073,0.41318899264523595,0.47913372622298883,0.0014735746075981338,8.7917
1973-04-01,80535.0,37470.0,71.3,20684.0,19769.0,21520.0,148103.0,89.6,34.2,45.5,51.8,73.7,49.5,82.8,128.2,47.7,8.4,26.4,24.6,24.7,15.166047666357484,12.2,9695.0,24.073190598616907,42172.03377745557,8461.347143898494,2744.522635323937,31550.536648019177,4949.273683617326,235.0,10784.23282975081,2386.775988603814,16127.59775498003,30.80052927028475,3.6533,14.8533,192.7342,0.3951319740793425,0.4843084075939558,0.0014917814033038482,7.9918
1973-07-01,81123.0,37840.0,71.0,21203.0,20353.0,21418.0,146900.0,90.3,34.2,45.6,51.8,74.2,48.6,82.0,135.9,48.4,8.0,26.9,24.9,25.2,15.39626690567063,12.7,9994.0,24.463421189650944,44671.99201984584,9613.964776274126,2973.641266040712,32942.35993500576,5049.090554560866,161.0,11828.56317586616,2603.8926925576666,16716.49926503587,31.545748825559464,3.9433,13.1967,179.9029,0.4030957755562722,0.5242463958060288,0.0015203407144354678,8.6413
1973-10-01,80432.0,37898.0,69.2,21344.0,20702.0,21626.0,146622.0,90.6,34.5,45.7,51.7,73.9,49.8,81.5,135.6,50.5,4.0,28.5,25.6,26.0,15.927760705072592,13.1,10358.0,25.324619735381226,46604.50577727404,10105.308802318801,3130.4711309163654,34343.71625820458,5183.823437471973,9.0,13421.836201600454,3024.556306468257,17173.049195959422,32.433567909938525,4.3067,9.8333,169.7678,0.4199916001679967,0.5214308061320263,0.0015291041269450013,11.6685
1974-01-01,78912.0,37455.0,66.2,21935.0,20131.0,21782.0,142961.0,86.0,33.7,45.4,50.0,68.7,45.0,83.6,133.2,49.8,-6.7,30.0,26.5,27.0,16.588501290752646,13.3,10574.0,26.480079059205732,47906.581584005,9972.545776113502,3158.684164015124,35681.20123878142,5363.144180914815,11.0,14148.67395457854,3289.78894719492,17619.980144946563,31.652862909577646,5.19,7.3067,139.3495,0.4383273428596476,0.5051015254066067,0.0015105007748113723,12.6111
1974-04-01,79298.0,37999.0,65.2,22628.0,20634.0,20864.0,145663.0,91.6,34.6,45.5,50.0,74.6,49.3,81.7,134.0,51.2,1.2,31.1,28.3,28.6,17.57519821274615,14.0,11098.0,28.05443073816436,48758.28528233554,9867.880634216495,2670.6521729256688,36833.745316840854,5416.465390233382,-29.0,14994.634924433956,3475.150394975486,17904.068038313937,30.17558307864627,6.2667,5.3033,121.6052,0.4167187565112305,0.504999495000505,0.0014886080547093232,11.967
1974-07-01,80098.0,38457.0,63.5,22771.0,20460.0,20881.0,147138.0,90.8,34.6,45.9,50.3,74.5,51.9,80.6,124.3,51.3,0.5,31.6,29.1,29.5,18.01675871374877,14.7,12058.0,28.648038748263513,49615.01070060184,9350.870070586783,2899.867478260398,37892.86564002037,5722.819974681878,155.0,16035.101771846888,3536.4488415625706,18319.985940931056,29.789708151489393,8.2967,4.2767,94.4006,0.4250797024442083,0.5072537283149031,0.0014293755544190433,11.7283
1974-10-01,80317.0,39028.0,60.4,22271.0,20184.0,21227.0,145349.0,87.1,34.3,45.9,49.8,71.7,51.5,78.5,125.0,48.0,-2.9,33.5,30.2,30.8,18.823560616815282,15.6,12885.0,30.17077233938743,51697.77424664409,9250.021096446666,3576.032847278942,39540.17429749491,5991.364974340845,322.0,16257.527153360028,3289.573577834103,18890.17319639838,28.6808098024034,10.96,6.6233,72.515,0.4290924694271616,0.5199396869963084,0.0014306505726107384,11.5
1975-01-01,80048.0,40621.0,61.0,22174.0,19368.0,20919.0,145737.0,86.3,34.3,46.0,49.2,70.7,49.8,79.2,110.7,45.9,3.0,36.3,31.9,32.6,19.96427520652531,16.8,14362.0,32.100667693888035,53374.1937274806,9833.654900267753,3140.332293472542,40975.84955105778,6169.74865642478,307.0,16737.742621396766,3305.2981169250884,19532.30435704899,27.519560025790977,7.9133,6.8167,103.6411,0.41793789442888785,0.5397236614853195,0.0014255244718360555,10.7833
1975-04-01,80202.0,40041.0,60.7,21283.0,18350.0,21039.0,143391.0,82.0,33.9,46.2,48.9,67.9,50.8,76.8,106.8,43.4,-8.9,39.6,34.9,35.6,21.51177218210593,18.0,14630.0,35.49049820236261,55050.64464432598,9645.921488535369,3331.7586823416614,42435.391351408376,6355.888150773233,265.0,16702.377916386307,3360.334003743537,20268.79856505073,26.377214388789223,5.91,7.3067,139.4491,0.4301075268817204,0.5578489345085351,0.0014722039791612471,9.9615
1975-07-01,79319.0,40172.0,60.2,21238.0,19388.0,20853.0,143163.0,80.8,34.0,46.2,47.5,66.9,49.5,78.9,109.1,43.4,-10.2,40.6,36.6,37.2,22.623967878310737,18.9,15534.0,36.36363636363637,56974.28790693171,10324.425340566482,3339.7365540742967,43812.19010710779,6500.2143910117375,296.0,16342.868642420031,3457.9327115349643,20950.633585832165,25.66377650383061,6.2633,9.1633,135.3152,0.4697040864255519,0.5654509471303365,0.0015760215259324098,10.7065
1975-10-01,78588.0,40981.0,59.9,22314.0,18980.0,20339.0,145198.0,81.8,33.4,46.3,47.5,68.2,51.4,80.2,104.7,46.7,-4.9,42.1,37.9,38.5,23.48492544423368,19.6,15816.0,37.80174627632255,57939.61435417373,10355.987369826296,3107.450399716293,45100.354373874536,6659.760062075444,382.0,16363.007075794827,3242.6569006213585,21680.153346475512,25.421559774356414,5.6133,10.12,152.6083,0.4896200548374461,0.5757052389176741,0.001612512581629418,11.731
1976-01-01,79093.0,41036.0,60.8,22812.0,18728.0,21453.0,147562.0,82.8,33.1,46.7,48.2,69.0,51.4,77.9,111.3,49.1,-2.4,45.0,38.9,39.6,24.266379838239107,20.2,16244.0,38.98305084745763,59968.89310605902,10748.729405807735,3256.894952443912,46510.25772095393,6846.049041715571,329.0,16268.662191773983,3355.026199157742,22447.131987080815,25.105342597756746,5.2267,10.3467,166.6867,0.5008263634997746,0.57567209717345,0.001655335344455421,9.8681
1976-04-01,79574.0,41367.0,59.1,23672.0,20269.0,21270.0,146396.0,84.0,33.3,47.1,48.8,70.3,51.3,82.2,113.4,49.7,3.5,46.6,40.3,41.0,24.969338513715115,20.8,16688.0,40.44684129429892,61847.32279918384,11476.096463953632,3187.1328206596177,47770.21278388261,7027.507203314386,413.0,17158.371185354546,3316.2148420980775,23299.70343002938,24.864743845420694,5.5133,8.8767,163.2037,0.5532809560694921,0.6124823911312549,0.00185142773775711,10.5055
1976-07-01,80300.0,41206.0,58.3,23811.0,20497.0,20923.0,147802.0,83.9,33.7,47.3,48.8,70.3,49.9,82.7,115.2,51.2,5.0,47.2,41.3,42.2,25.700549859899038,21.3,17166.0,41.628145865434,64092.98700649751,11945.276621093844,3393.300474996037,49407.0193001832,7263.9330467545915,296.0,18032.123190040522,3410.5656038519187,24205.141015601723,24.692232458204366,6.2767,7.77,150.2002,0.5662193533774984,0.6236746912810278,0.001943719221206132,11.7935
1976-10-01,80435.0,40893.0,60.2,24638.0,20516.0,20941.0,150899.0,86.3,34.4,47.7,49.1,73.1,52.5,81.7,120.4,52.3,7.2,51.4,42.7,43.9,26.939192346475547,22.1,17645.0,43.40010272213662,64838.52337639869,11927.717415644944,3456.0471524027735,50195.724403219174,7419.1644881622115,74.0,18983.35661685462,3709.794472869115,25124.036779437665,23.97037844699937,7.3767,9.2967,131.7205,0.6045583701106342,0.6740361283364789,0.0020589540307628324,14.7201
1977-01-01,78739.0,40485.0,58.6,24746.0,20355.0,20179.0,151129.0,87.5,34.9,47.7,48.4,74.8,52.0,82.6,115.0,53.0,8.4,54.9,44.6,46.0,28.1952529429818,22.9,18150.0,45.45454545454546,66053.91870007024,12315.038128772898,3197.8822105661616,51233.699267214666,7573.571335811722,-19.0,18993.949416707786,3660.8956002038813,25960.66552590057,23.27801081634067,5.88,9.18,167.8354,0.5832264084917765,0.6532532009406846,0.00204350583042866,11.8778
1977-04-01,78598.0,40758.0,58.8,25297.0,20854.0,21131.0,150412.0,85.7,34.0,47.4,47.7,74.4,54.2,81.8,113.6,52.5,5.8,56.8,46.8,48.1,29.188605228781608,23.8,18452.0,47.58602978941962,68564.1929819912,12394.262820094526,3639.89004857577,53138.312232219076,7873.945485393235,53.0,19623.021396274245,3739.2966957466174,26947.50143948169,22.992904331645274,5.6167,9.2933,184.2043,0.5816997266011285,0.6562110374696503,0.002113311538047004,8.4368
1977-07-01,79546.0,40650.0,59.5,26211.0,20306.0,20688.0,151567.0,85.1,34.7,48.0,48.7,73.9,54.2,82.1,110.9,51.6,5.2,57.1,47.7,49.3,29.90954560530497,24.3,18843.0,48.17668207498716,71064.40604434536,12855.778085412574,3817.9281487778453,55050.71502530121,7987.015147959406,332.0,20267.561606097395,3918.765427997845,28171.81572342289,22.935232635368806,5.3633,8.9933,202.1143,0.5760036864235931,0.6584145377929945,0.002164296041069682,7.2826
1977-10-01,81182.0,40569.0,60.7,25186.0,20034.0,21292.0,153672.0,85.3,34.8,48.3,49.0,74.2,53.0,83.0,112.4,49.8,1.5,57.5,48.5,50.1,30.543880461449138,25.0,19488.0,48.972778633795585,74483.16005081097,14079.359429157701,3953.4349250427586,57334.10838058512,8371.563280426833,395.0,20727.177121670928,4085.776879386054,29585.77704517815,22.771025947936714,5.2,7.9467,214.474,0.5505698397841766,0.6467886941336265,0.0022322340399172557,5.875
1978-01-01,83159.0,41078.0,61.5,25457.0,21399.0,21816.0,154409.0,85.2,35.7,48.7,50.0,74.5,54.6,83.1,111.1,52.0,-0.5,58.7,49.3,51.0,31.105536371956905,25.9,20286.0,49.97431946584489,78447.22443735438,15250.124312021744,4510.298538452585,59659.372061786824,8647.015417800181,446.0,20942.13660648237,4336.037513809169,30904.07570184136,23.498663015739467,5.6067,7.9867,204.0502,0.5190760446405398,0.6423020104052926,0.0021817878748011574,6.5444
1978-04-01,82844.0,41076.0,64.7,25931.0,21523.0,21545.0,155849.0,87.1,35.8,49.1,50.9,76.7,55.5,86.3,111.7,52.2,3.1,60.6,50.5,52.2,31.61924951689304,26.6,21209.0,51.36106831022086,80476.54369310515,15427.436716408243,4360.944354394176,61655.54808722691,8985.366610900446,478.0,21587.780158991933,4687.549659478407,32503.531760920556,24.23876991647268,5.58,8.4267,211.0762,0.5446623093681917,0.6730833950326446,0.002463443119960565,8.5027
1978-07-01,84699.0,41497.0,64.2,25989.0,21494.0,21178.0,157492.0,87.4,35.7,49.6,51.8,77.4,55.1,84.5,116.5,52.7,4.7,61.3,51.5,53.3,32.19865364082254,27.0,21746.0,51.97740112994351,82865.33073919448,15466.420294677615,4368.857158847602,63925.2210149161,9235.776043787,374.0,21977.378663160882,4974.718754232266,33900.67595562645,26.13689237736799,5.3467,8.1033,228.3034,0.5170096163788647,0.6639665360865813,0.0026838490259775117,10.0
1978-10-01,84063.0,41697.0,63.3,25945.0,20208.0,20845.0,158632.0,86.0,36.2,50.0,52.4,77.2,53.1,83.4,115.7,53.1,4.1,61.8,52.5,54.3,32.822624576921584,27.7,22426.0,52.876219825372374,85776.79083626207,15800.924546924483,4781.685945441631,66076.89273142726,9550.077057932738,440.0,22631.467313850197,5279.315337410054,35406.86920184187,27.10752230258873,5.62,8.4667,223.5373,0.5032965926820675,0.6767273465520741,0.0026409173701850467,11.4402
1979-01-01,85553.0,41560.0,61.0,23955.0,21596.0,21449.0,157255.0,84.8,35.0,49.7,51.5,77.5,58.6,83.4,120.8,49.8,4.0,65.1,53.8,55.7,33.7316465140596,28.7,23329.0,54.365690806368775,88547.26012959755,15716.669716471326,4743.076058925642,68846.67041453019,9835.276893871249,431.0,23829.15069153565,5678.302094423525,37097.625450904874,27.89867634047267,5.51,8.6367,234.8561,0.4957120904178853,0.6715916722632639,0.0024602473237429613,12.9056
1979-04-01,90457.0,42319.0,64.7,28382.0,23454.0,21683.0,163976.0,88.5,37.9,51.4,55.0,81.2,58.4,86.9,116.7,55.3,5.8,67.0,55.9,57.6,34.47592823345346,29.4,24390.0,56.599897277863384,91720.66856739881,16238.630178405992,4746.047911092889,71563.8018481127,10097.557932774751,230.0,24970.907004007604,6240.811271113405,38883.31947156866,29.262553786664178,5.05,7.51,264.1488,0.48016901949486224,0.6401229035974907,0.002205448560669133,12.4396
1979-07-01,86557.0,41918.0,65.0,27339.0,23934.0,22025.0,160082.0,85.2,38.4,50.8,51.6,79.5,55.6,86.5,117.2,55.5,2.7,68.9,60.3,61.9,36.96320678685344,31.7,25709.0,60.14381099126862,94970.61748164338,15900.2991801881,4692.5991963485685,74978.00862256764,10428.544530646663,381.0,25608.215535432395,6808.45603972677,40737.823130246754,29.31192698394903,5.8567,6.7633,246.8208,0.44760753771093503,0.6218905472636815,0.002045540690611357,14.0
1979-10-01,87719.0,42176.0,64.7,27538.0,23800.0,22463.0,161730.0,86.3,37.9,51.2,52.9,79.5,54.4,86.3,113.7,54.7,3.0,70.5,62.0,63.6,38.13908769183491,33.0,27049.0,61.73600410888547,98199.41705371282,15572.030070393044,4740.139247303556,78338.59421695548,10670.4921842324,-107.0,26174.666483465564,7492.596057912219,42550.36969257466,30.46178861664034,6.59,6.6733,236.6978,0.4627273147933923,0.6515931452401121,0.0019413415874000718,15.5326
1980-01-01,89225.0,42549.0,63.4,27972.0,24173.0,21720.0,160164.0,84.2,37.9,51.0,51.3,78.2,57.4,86.7,108.9,54.2,1.0,73.6,65.0,66.5,39.66332718107269,34.5,28254.0,64.45814072932717,100913.58263285417,14774.625412883215,4941.236063855828,81322.85662032686,10826.257322609723,110.0,27877.588978989974,7959.513249350284,44276.4846364212,30.238646830917634,6.4633,5.6467,249.0506,0.4438329412809019,0.6257822277847309,0.0018225645889551857,17.0
1980-04-01,86780.0,42165.0,61.3,26809.0,23280.0,20996.0,157277.0,80.5,37.0,50.6,50.0,75.2,56.3,85.0,105.5,49.1,-7.3,76.1,69.2,70.5,41.24341661328293,36.1,29543.0,67.9763739085773,105597.6583688788,15872.628987025299,5175.117273456706,84876.4784629563,11032.415778841889,388.0,29373.531501521025,8529.147471139142,46063.856940939,29.94025813111143,6.74,6.16,252.3547,0.43790506218251884,0.6084205402774397,0.0018857915600644414,17.0
1980-07-01,87890.0,42870.0,60.7,26121.0,21312.0,20598.0,156955.0,76.8,36.0,50.3,48.7,72.5,55.7,84.5,99.9,45.0,-8.8,77.1,70.9,72.1,42.240920413565355,37.3,30447.0,69.05495634309193,109851.65690921758,16946.735576163144,5330.7375400594065,87932.8857267816,11210.545854172873,549.0,30936.188635353512,8932.946039179693,48015.701063149514,29.584822164188385,6.1433,6.61,285.1858,0.41972717733473247,0.5974072525240457,0.0019097027604944373,16.0217
1980-10-01,86112.0,43091.0,56.2,25961.0,20812.0,20145.0,155163.0,73.7,35.6,50.1,48.1,70.9,56.4,84.4,96.4,45.4,-10.9,77.5,72.4,73.5,43.271496177790794,38.8,30941.0,70.39034411915769,115151.07583415344,18308.863721404698,5287.116105846534,92087.06478616268,11299.716069982938,752.0,31617.00821218932,9251.352424548682,50137.01478167316,28.720201087390897,5.9633,7.11,298.6254,0.4188306248952924,0.5618293162537221,0.0019880691991222277,15.1957
1981-01-01,87646.0,42671.0,57.2,25755.0,19947.0,18769.0,153980.0,73.1,36.1,50.5,48.9,70.8,56.7,84.8,100.3,46.9,-9.5,79.9,74.0,75.2,44.411239788981504,39.8,31211.0,72.72727272727273,118365.16109172649,18671.09170462683,5194.760396259058,95001.59503442443,11578.730931869895,977.0,31783.51890508375,9752.019016715096,52546.14915108828,28.259935311806377,6.0833,8.6033,293.8211,0.4329004329004329,0.533731853116994,0.0021037936027002613,13.5333
1981-04-01,87520.0,42986.0,55.4,26044.0,21049.0,19085.0,154174.0,73.3,36.3,50.6,48.9,71.2,58.4,82.6,96.4,47.3,-5.3,82.4,78.0,78.8,46.01183048121146,40.4,31661.0,75.98870056497175,123439.42075780599,20922.25179468522,5428.991090473261,98009.73348068992,11656.21440595333,1041.0,31100.727489804136,10177.022548186802,55196.113044718695,27.699971080760445,5.62,8.9133,319.6203,0.480884828083674,0.5361642807356174,0.0021886450033125142,12.0
1981-07-01,87487.0,43068.0,56.3,27204.0,23421.0,19205.0,156149.0,74.6,37.1,50.9,49.1,72.3,56.3,83.6,97.0,49.4,-0.3,82.9,79.5,80.3,46.99011466884604,41.0,32316.0,77.27272727272727,127986.11850622167,22032.79068098351,5984.9960302437485,100886.20678087432,11822.911869564765,931.0,32302.16494826183,10581.152311786083,57892.18795027641,27.224724535133213,5.74,9.0567,317.5512,0.5435373410153277,0.5617346365576902,0.00234651779106324,12.5048
1981-10-01,87119.0,42298.0,53.8,27058.0,22684.0,19005.0,156029.0,74.6,37.3,50.8,48.2,73.1,59.8,83.8,98.5,49.1,3.1,84.9,81.5,82.1,48.096162232115766,42.1,32898.0,78.7878787878788,131323.65239373228,22351.161874120946,6904.389912792804,102984.56967646648,11919.35677437273,1138.0,35044.82142932194,11367.30660425385,60677.24936128608,26.169890722100646,6.1167,9.5567,300.2601,0.5311802825879103,0.5782686636211184,0.0023651145602365115,14.5965
1982-01-01,87299.0,42953.0,58.4,26480.0,22558.0,19101.0,156464.0,74.3,36.3,51.1,49.2,72.5,57.5,84.4,95.3,48.5,2.3,88.5,82.3,83.2,48.99494621472146,43.0,33482.0,79.89214175654855,134692.34234385224,22791.53220499182,7260.197793073506,105625.5070398378,11863.677883029668,1453.0,37460.3289160482,11662.81128789033,63815.222141207596,26.09842311274797,5.8,9.01,320.9569,0.5422993492407809,0.5615769079575448,0.0023175953928057666,13.7917
1982-04-01,87149.0,42866.0,59.4,27060.0,23519.0,20050.0,158359.0,74.4,36.6,51.2,49.3,73.7,57.2,85.4,98.2,48.0,3.5,90.4,85.2,85.7,49.96893528769231,43.3,34025.0,82.69131997945557,138211.55633586107,22457.703083202607,7517.584006851059,109045.63157920381,11930.299804770684,1778.0,38833.51837147837,12026.24808270761,67213.87801811118,26.12088908837963,5.8767,9.55,328.6221,0.5622399640166423,0.5629679671226707,0.0023029142919782125,13.0179
1982-07-01,88576.0,43000.0,60.7,26491.0,22792.0,20649.0,158253.0,73.6,35.9,51.5,50.0,73.7,57.1,85.6,97.2,48.0,2.0,88.3,86.2,86.7,50.523385105304584,44.1,34320.0,82.92244478685156,142581.30612675726,22284.92421140266,8097.319438907855,112794.02905898889,12094.338816482286,2071.0,40957.34314555917,12762.179287166276,71163.99369651984,26.13812069733009,5.8267,10.65,340.9075,0.5800127602807262,0.550994545154003,0.002240232195586608,11.3614
1982-10-01,89249.0,43303.0,61.8,26934.0,22520.0,20751.0,158976.0,72.9,36.5,51.9,50.4,73.0,57.8,84.7,98.4,48.4,-0.1,88.7,86.9,87.5,51.289134066865984,45.0,34692.0,84.02670775552131,147295.8478180644,22839.946751636733,8506.265381979016,116563.60436672706,12274.28746636172,2127.0,40783.01418896249,13619.18006073009,75322.6533249538,26.377878695766526,5.2967,11.19,378.7014,0.6072382803011902,0.565866908103214,0.0023384843908505395,9.6984
1983-01-01,90557.0,43322.0,63.1,26859.0,23595.0,21079.0,161274.0,74.5,36.5,52.6,51.2,74.6,57.7,85.4,97.7,49.6,3.0,89.8,87.1,87.8,51.847182441228426,45.8,35625.0,84.64304057524397,153827.13008376685,23568.893811323185,9286.117059871805,121560.5047073907,12483.067667879293,2350.0,39982.11824775165,14091.266352112005,79478.05445416861,26.836216421685037,5.0133,12.7133,403.3322,0.652954619653934,0.6188118811881188,0.0027671166920780216,10.7951
1983-04-01,91056.0,44063.0,62.3,26822.0,24204.0,20658.0,162451.0,74.7,37.3,52.8,51.5,75.4,61.8,84.7,100.0,51.3,2.2,91.1,89.1,89.5,52.129626878422165,45.8,36128.0,86.38931689779147,157376.16186428902,24752.698474316723,9922.944354925776,123395.65502791795,12667.02494446558,1406.0,40483.91612844411,14930.476532163944,83508.27610626417,27.785165964098184,4.74,12.5733,436.3352,0.6438320885912954,0.585514374377891,0.0027124506639129866,10.035
